codigo_postal,localidad
1601,ISLA MARTIN GARCIA
1602,FLORIDA
1603,VILLA MARTELLI
1605,CARAPACHAY
1607,VILLA ADELINA
1609,BOULOGNE
1611,DON TORCUATO
1612,INGENIERO ADOLFO SOURDEAUX
1613,LOS POLVORINES
1614,VILLA DE MAYO
1615,GRAND BOURG
1617,EL TALAR
1618,RICARDO ROJAS
1619,GARIN
1621,BENAVIDEZ
1623,BARRIO GARIN NORTE
1625,ARROYO CANELON
1627,MATHEU
1629,ALMIRANTE IRIZAR
1631,VILLA ROSA
1633,EMPALME
1635,KILOMETRO 45
1636,LA LUCILA
1638,VICENTE LOPEZ
1640,ACASSUSO
1642,SAN ISIDRO
1643,BECCAR
1644,VICTORIA
1646,SAN FERNANDO
1647,ZONA DELTA SAN FERNANDO
1648,RINCON DE MILBERG
1649,ZONA DELTA TIGRE
1650,GENERAL SAN MARTIN
1651,SAN ANDRES
1653,VILLA BALLESTER
1655,JOSE LEON SUAREZ
1657,11 DE SEPTIEMBRE
1659,CAMPO DE MAYO
1661,BELLA VISTA
1663,MUÑIZ
1664,TRUJUI
1665,JOSE CLEMENTE PAZ
1667,MANUEL ALBERTI
1669,DEL VISO
1670,NORDELTA
1672,VILLA LYNCH
1674,VILLA RAFFO
1676,SANTOS LUGARES
1678,CASEROS
1682,MARTIN CORONADO
1684,CIUDAD JARDIN DEL PALOMAR
1686,HURLINGHAM
1688,VILLA SANTOS TESEI
1702,CIUDADELA
1704,RAMOS MEJIA
1706,HAEDO
1708,MORON
1712,CASTELAR
1713,BARRIO PARQUE LELOIR
1714,ITUZAINGO
1716,LIBERTAD
1718,SAN ANTONIO DE PADUA
1722,MERLO
1723,MARIANO ACOSTA
1727,B LOS AROMOS SAN PATRICIO
1731,VILLARS
1733,PLOMER
1735,EL DURAZNO
1737,KILOMETRO 77
1739,GENERAL HORNOS
1741,ENRIQUE FYNN
1742,PASO DEL REY
1744,CUARTEL V
1746,FRANCISCO ALVAREZ
1748,GENERAL RODRIGUEZ
1752,LOMAS DEL MIRADOR
1754,SAN JUSTO
1755,RAFAEL CASTILLO
1757,GREGORIO DE LAFERRERE
1759,GONZALEZ CATAN
1761,20 DE JUNIO
1763,VIRREY DEL PINO
1765,ISIDRO CASANOVA
1766,TABLADA
1768,CIUDAD MADERO
1770,ALDO BONZI
1771,MERCADO CENTRAL
1774,LA SALADA
1776,9 DE ABRIL
1778,CIUDAD EVITA
1802,AEROPUERTO EZEIZA
1804,CANNING
1806,TRISTAN SUAREZ
1808,ALEJANDRO PETION
1812,CARLOS SPEGAZZINI
1814,BARRIO 1 DE MAYO
1815,ESCUELA AGRICOLA DON BOSCO
1816,COLONIA SANTA ROSA
1822,VALENTIN ALSINA
1824,GERLI
1825,MONTE CHINGOLO
1826,REMEDIOS DE ESCALADA
1828,BANFIELD
1832,LOMAS DE ZAMORA
1834,TEMPERLEY
1836,LLAVALLOL
1838,LUIS GUILLON
1842,EL JAGUEL
