parent_id,score
1,52
1,23
1,11
10,16
10,6
25,61
31,20
31,5
31,2
35,32
35,31
35,8
35,5
35,2
35,1
35,1
35,0
35,0
35,0
65,2
65,1
65,0
65,0
65,0
65,0
65,0
73,43
73,12
73,11
73,8
82,10
82,8
82,4
82,3
83,6
85,5
86,22
86,6
88,32
88,25
88,14
88,11
88,6
88,6
90,11
90,2
90,2
97,4
100,9
100,2
102,181
102,77
102,65
102,64
102,54
102,48
102,48
102,47
102,43
102,40
102,39
102,34
102,32
102,31
102,30
102,23
102,23
102,23
102,18
102,17
102,16
102,16
102,16
104,38
104,17
104,11
104,8
104,6
112,2
112,1
112,0
116,10
125,59
125,28
125,17
125,6
125,-1
125,-3
125,-22
128,17
128,6
128,2
128,1
129,3
133,6
133,4
135,28
135,27
135,17
135,12
135,11
135,6
135,6
135,5
135,4
135,4
135,4
135,3
135,2
139,12
139,8
139,7
152,8
171,7
172,4
172,1
176,18
182,13
182,8
182,7
194,12
197,18
198,17
198,5
198,3
198,3
202,20
230,15
234,4
234,3
234,1
239,9
287,6
296,20
311,19
311,4
311,1
311,1
311,0
333,27
334,12
334,6
345,6
354,10
354,9
354,4
354,2
354,2
363,3
365,6
365,5
365,3
365,3
392,42
392,20
392,19
392,16
392,11
392,8
392,8
392,4
392,3
392,1
392,0
406,7
424,3
431,22
431,19
431,19
431,12
431,10
431,2
431,2
431,2
431,1
431,1
431,1
434,4
442,20
443,21
443,0
443,0
456,5
459,36
459,24
459,14
459,6
459,6
459,4
459,3
468,3
468,3
469,2
477,3
481,43
481,17
481,14
481,14
481,13
481,9
481,7
481,6
481,6
481,3
493,39
493,19
493,5
493,2
493,2
493,2
504,21
504,12
504,10
509,18
509,11
515,5
515,4
515,4
515,3
515,3
515,2
528,9
528,5
529,2
531,25
531,6
531,2
531,1
531,1
547,9
555,137
555,44
555,26
555,23
555,15
555,10
555,7
555,6
555,5
555,3
555,3
555,0
587,2
596,11
599,8
614,8
623,22
623,19
623,11
623,5
623,4
623,3
623,3
623,2
623,2
623,2
623,1
666,7
666,5
666,3
666,0
684,3
684,2
686,19
686,16
686,11
700,16
700,11
700,10
700,8
718,2
726,6
741,11
747,29
747,28
747,12
747,8
747,3
752,8
762,16
762,11
762,4
762,2
774,13
774,6
790,8
817,11
817,10
817,4
824,7
824,6
842,4
849,19
853,3
865,28
865,16
865,9
865,2
868,1
868,1
868,1
882,4
882,3
883,7
886,43
886,38
886,15
886,14
886,11
886,10
886,7
886,5
886,5
886,4
886,4
886,4
886,2
886,1
886,1
886,0
886,0
886,0
896,33
896,16
896,9
896,9
896,6
896,4
896,4
896,4
896,3
896,3
896,2
896,2
896,1
896,1
896,0
896,0
896,0
896,-11
915,39
915,13
915,8
915,6
915,5
920,5
943,9
943,3
943,2
943,0
958,3
958,3
981,16
981,12
981,9
981,7
981,4
981,3
981,3
981,2
981,2
981,0
984,20
984,15
984,4
1004,7
1004,5
1004,3
1004,3
1004,2
1010,8
1010,5
1010,3
1010,2
1010,1
1031,5
1031,3
1041,8
1054,29
1054,17
1054,8
1066,3
1081,10
1093,27
1093,19
1093,18
1093,9
1093,6
1093,3
1093,3
1093,2
1093,1
1094,0
1103,6
1110,5
1114,8
1114,6
1114,5
1114,3
1114,2
1114,2
1114,1
1114,0
1114,0
1114,0
1125,26
1125,14
1125,4
1125,3
1125,2
1170,35
1170,26
1177,27
1177,19
1177,7
1177,3
1177,3
1177,3
1177,2
1177,2
1177,2
1177,1
1177,1
1182,15
1182,13
1182,8
1182,1
1182,1
1182,0
1187,8
1187,2
1189,36
1189,7
1189,5
1189,2
1189,2
1189,2
1189,-2
1191,34
1191,15
1191,9
1191,4
1195,11
1195,9
1195,8
1195,5
1195,3
1195,2
1195,2
1218,6
1218,6
1218,2
1226,11
1226,7
1227,11
1227,3
1238,6
1238,4
1238,1
1274,9
1274,8
1274,4
1274,3
1284,2
1313,17
1313,16
1313,4
1313,4
1323,7
1326,36
1326,24
1326,21
1326,19
1326,16
1326,10
1326,6
1326,6
1326,6
1326,5
1326,5
1326,4
1326,4
1326,4
1326,3
1330,3
1330,1
1330,0
1343,10
1343,7
1350,7
1350,1
1353,3
1353,2
1357,4
1362,9
1377,6
1383,6
1383,3
1390,14
1390,13
1390,3
1390,3
1390,1
1394,9
1409,23
1409,20
1409,9
1409,5
1409,4
1409,4
1409,1
1409,1
1409,1
1409,0
1409,-1
1413,41
1413,22
1413,13
1413,13
1413,9
1413,7
1413,6
1413,1
1417,1
1422,1
1442,6
1451,18
1451,5
1451,4
1459,11
1466,36
1466,21
1466,16
1466,4
1471,3
1475,36
1475,15
1475,10
1475,5
1475,3
1475,2
1475,0
1475,0
1477,25
1483,23
1483,17
1483,9
1483,8
1483,8
1524,38
1524,8
1534,4
1534,3
1543,3
1556,3
1560,8
1569,5
1570,2
1577,13
1577,4
1600,25
1610,25
1610,17
1610,6
1610,3
1610,2
1610,2
1610,2
1620,3
1620,2
1620,1
1649,5
1649,2
1649,0
1652,7
1659,29
1659,6
1659,4
1659,0
1661,6
1662,14
1662,6
1662,5
1662,2
1672,9
1672,2
1672,1
1690,6
1696,10
1696,4
1696,1
1696,1
1696,0
1705,15
1718,6
1751,16
1763,5
1765,30
1765,18
1765,11
1765,9
1765,8
1765,7
1765,5
1765,5
1765,5
1765,4
1765,4
1765,2
1765,2
1774,6
1774,3
1774,2
1774,1
1774,1
1777,32
1777,13
1777,11
1777,10
1777,10
1777,7
1777,6
1777,6
1777,5
1777,5
1777,4
1777,4
1777,4
1777,2
1777,2
1777,2
1777,2
1777,1
1777,1
1777,1
1777,0
1803,10
1803,5
1803,2
1803,2
1803,1
1803,1
1803,0
1832,38
1861,1
1863,7
1863,1
1863,0
1863,0
1871,13
1890,26
1890,6
1901,2
1939,123
1939,50
1939,37
1939,17
1939,17
1939,14
1939,12
1939,11
1939,5
1939,5
1939,4
1939,0
1957,6
1957,0
1971,4
1975,6
1975,3
1975,1
1982,14
1984,5
1998,5
1999,6
2031,0
2035,13
2035,6
2035,5
2035,3
2035,3
2038,16
2038,5
2040,3
2040,2
2063,3
2063,3
2072,3
2074,6
2085,1
2115,1
2115,1
2115,0
2115,-1
2133,8
2148,4
2167,19
2200,7
2208,4
2231,8
2236,1
2238,5
2238,4
2250,6
2250,2
2261,3
2267,56
2267,20
2267,19
2267,14
2267,8
2267,6
2267,6
2267,6
2267,5
2267,5
2267,4
2267,4
2267,3
2267,3
2267,3
2267,2
2267,2
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,1
2267,0
2267,0
2267,0
2267,0
2267,0
2275,11
2303,2
2305,2
2307,19
2307,19
2322,4
2347,1
