number_of_words,views
62,1836
59,0
49,249
138,0
37,0
145,154
36,351
147,85
61,0
30,768
74,0
102,0
90,168
50,0
10,0
66,0
4,231
86,0
37,0
22,0
7,0
18,716
33,0
34,0
3,0
21,0
10,315
22,639
26,0
13,0
30,0
23,2108
14,0
13,0
29,92
50,0
14,0
149,0
19,0
18,0
73,0
46,0
75,0
17,0
35,0
0,0
60,483
15,0
4,0
15,0
31,90
74,0
85,0
85,925
45,0
38,0
37,0
20,186
10,777
129,0
12,0
28,0
20,0
13,0
35,0
21,273
44,218
31,0
49,381
141,550
132,1511
63,311
32,0
16,0
121,0
156,0
17,0
53,451
36,258
12,0
42,0
16,349
58,0
36,4188
36,0
21,1513
34,0
182,0
17,0
27,0
14,0
118,0
1,0
40,247
153,0
74,621
63,0
34,196
102,0
42,0
124,0
14,0
7,0
27,0
21,0
134,832
28,0
320,0
73,216
167,189
182,0
55,0
83,0
12,698
58,0
123,2423
80,0
63,0
24,0
63,309
127,0
22,0
14,0
8,0
71,0
86,0
47,0
49,0
49,0
106,0
190,0
18,146
14,0
15,0
49,0
101,87
120,0
77,0
29,0
20,0
53,0
29,0
117,0
69,0
36,0
1,0
24,0
196,0
60,0
89,0
53,220
124,295
97,0
79,0
254,0
51,238
31,0
54,0
21,0
61,0
80,0
240,315
44,0
23,0
15,0
29,0
21,0
24,0
117,84
18,0
23,0
76,0
44,240
26,534
53,74
15,0
149,466
254,526
39,0
16,0
85,0
39,390
7,0
135,0
41,0
42,0
10,0
122,0
53,0
100,0
26,0
267,0
6,0
10,0
159,0
36,0
43,0
56,0
186,75
27,125
46,0
70,0
89,0
67,0
79,337
20,0
48,0
276,211
53,0
24,0
11,0
54,136
56,44
49,0
31,0
62,0
20,0
24,0
13,0
15,0
5,0
68,0
57,0
37,0
47,114
90,0
140,0
59,0
47,0
26,0
45,0
44,0
68,0
20,0
146,83
14,0
82,0
17,0
197,179
70,0
32,0
86,0
31,0
57,0
56,0
57,0
84,250
75,0
120,0
81,0
85,0
31,82
32,108
121,0
94,0
12,0
54,0
11,148
3,0
34,0
38,757
12,0
44,0
11,163
48,0
47,0
21,103
48,0
32,0
88,0
24,752
48,0
39,0
3,0
14,0
69,0
5,0
29,0
117,0
22,0
44,0
55,0
19,0
111,0
4,0
5,117
35,0
171,350
47,340
14,0
48,0
23,0
176,0
171,294
107,0
25,0
86,0
130,0
125,53
92,0
76,402
23,0
85,0
82,202
24,0
146,0
53,0
25,0
63,0
183,134
111,0
310,419
69,0
51,0
42,0
27,0
35,0
32,0
11,0
1,0
48,0
104,76
152,0
114,0
81,0
50,80
48,0
97,0
31,0
52,0
82,0
24,0
26,0
56,0
211,4294
40,0
57,243
127,0
84,0
23,0
106,0
34,0
71,0
47,0
74,112
97,0
49,0
87,0
39,0
26,0
0,0
9,0
74,0
44,230
118,0
112,0
40,0
84,43
142,0
15,0
51,1567
62,0
45,95
99,0
47,0
92,0
57,0
45,0
65,529
249,946
27,0
193,0
42,0
238,0
11,0
87,145
24,0
12,0
77,0
26,0
182,71
74,120
182,0
32,0
53,1167
31,0
30,0
135,0
13,0
101,0
31,0
28,0
79,231
11,245
53,206
18,0
64,0
107,0
39,159
58,67
35,0
30,0
232,153
14,0
83,0
20,0
182,1082
193,0
25,0
42,0
113,0
28,0
90,480
72,0
114,0
38,0
33,0
53,0
39,0
136,545
6,0
17,0
53,0
67,326
214,0
35,0
47,0
152,0
57,0
130,670
124,0
127,0
252,0
5,0
220,0
9,0
10,0
73,0
48,0
122,276
101,154
19,0
207,383
51,0
67,123
56,0
58,0
14,0
30,0
57,0
117,0
104,0
48,0
